iteration,time_us,separation_x_mm,reattachment_x_mm,shock_x_mm,wall_shear_min_kpa,wall_pressure_max_bar,yplus_p95
780,42.0,107.49263644655122,117.51840860116211,107.8599,-11.928256085531364,22.21551,0.6864237100000006
790,42.25,107.22029221914832,117.58810313412268,117.2064,-11.36943289094082,22.2734,0.7230174650000001
800,42.5,106.92844430824739,117.64821885853522,117.2064,-11.813702883386316,22.29986,0.7478723550000002
810,42.75,106.6961046868502,117.70233468224548,107.0827,-11.295482832684746,22.29473,0.7576024100000002
820,43.0,106.38753683333398,117.7545441388383,117.40140000000001,-11.634150151354344,22.26211,0.7335416250000003
830,43.25,106.13585271900548,117.80342212557494,106.5,-11.616686512635338,22.20875,0.7330689950000002
840,43.5,105.91791562903192,117.84840923856244,106.3057,-10.99615847322984,22.14222,0.7495485800000002
850,43.75,105.6271571227672,117.88985780824201,105.9174,-11.672817155498358,22.07009,0.7808843500000004
860,44.0,105.37950340638004,117.93048164029207,105.7232,-11.403173922758004,21.99915,0.79497958
870,44.25,105.15722828991704,117.97555155051363,105.529,-10.64546995685077,21.9351,0.7762154800000003
880,44.5,104.94841743079765,118.01268395580087,105.33489999999999,-11.15656282692221,21.88261,0.7856855900000006
890,44.75,104.68239726322717,118.04257988067197,104.9467,-11.203854024392008,21.84508,0.7918182400000003
900,45.0,104.43422627619061,118.07404034520202,104.7526,-10.827750773329784,21.82464,0.7975702150000001
910,45.25,104.20753595347118,118.10969008681968,104.5585,-10.261953738582323,21.82178,0.7766724400000005
920,45.5,103.9942438703684,118.1441748822932,104.36449999999999,-10.480856129458243,21.83469,0.7792170100000007
930,45.75,103.78864716682844,118.17642464748494,104.1705,-10.884766958301098,21.8592,0.7932179100000003
940,46.0,103.57154410429297,118.20959973082994,103.7825,-10.859623189377386,21.89065,0.7829479100000006
950,46.25,103.31871480477346,118.24708309106333,103.5885,-10.568744735866119,21.92553,0.805023665
960,46.5,103.08250952300608,118.28808724456621,103.3946,-10.14902698488538,21.96169,0.7919787450000004
970,46.75,102.85801408138798,118.33422625554793,103.20060000000001,-9.691162727926589,21.99773,0.7551214850000006
980,47.0,102.6428060140975,118.41003096839735,103.00670000000001,-9.549708777671023,22.03244,0.7838593500000005
990,47.25,102.43483709035671,119.02340060843883,102.8128,-10.010236098724999,22.0645,0.7870831650000008
1000,47.5,102.23171346375446,119.20715927407004,102.6189,-10.217160468136965,22.09271,0.77382287
1010,47.75,101.98266270714232,119.33890071885175,102.23110000000001,-10.219341035468355,22.1161,0.7533580400000008
1020,48.0,101.74824070336585,119.46236692879967,102.0373,-10.062784078431294,22.13378,0.7610710400000006
1030,48.25,101.52731397125615,119.57668622449626,101.8435,-9.796807427716297,22.14516,0.7695941300000003
1040,48.5,101.31393878883816,119.67258992413198,101.6497,-9.467889589474977,22.14995,0.77852299
1050,48.75,101.10575915968687,119.77674853921272,101.456,-9.11546079589776,22.14818,0.7828401800000003
1060,49.0,100.9011796967392,119.85675738533578,101.26219999999999,-9.49571700361093,22.14038,0.7759998050000001
1070,49.25,100.69936169172449,119.9363303436878,101.0685,-9.792121151191727,22.12754,0.8037500900000002
1080,49.5,100.49976427892193,120.03223414704593,100.87480000000001,-9.982670085900759,22.11082,0.8104524050000002
1090,49.75,100.30197209084962,112.4453240719765,100.6811,-10.096613452505927,22.0914,0.8150606400000002
1100,50.0,100.1057352940729,112.41058225048593,100.2937,-10.153606515334259,22.07025,0.8461239100000004
1110,50.25,99.91067119965449,112.41334102229024,100.1001,-10.175594468484487,22.04814,0.8517428400000001
1120,50.5,99.7167069546752,112.44193145529486,99.90647,-10.188518126614433,22.02563,0.8916160500000002
1130,50.75,99.52388399545542,112.49175149777624,99.71287,-10.21490205369357,22.00328,0.9378052900000002
1140,51.0,99.33241720130339,112.6035870745807,99.51928,-10.265132340224232,21.98166,0.931277170000001
