x_m,r_m,pressure_pa,pressure_over_pc,cf_t,yplus
0.107537,0.0513893,51903.51,0.009981444230769231,28.39661023758433,0.01658528
0.107767,0.05143791,51903.73,0.009981486538461539,28.39959797229951,0.01658617
0.107997,0.0514864,51903.95,0.009981528846153845,28.402580772229904,0.01658706
0.1082271,0.05153478,51904.17,0.009981571153846153,28.40553753560427,0.01658795
0.1084571,0.05158305,51904.39,0.009981613461538462,28.408497923923303,0.01658883
0.1086872,0.05163119,51904.6,0.009981653846153847,28.41144507628131,0.01658971
0.1089172,0.05167923,51904.82,0.009981696153846155,28.414374615649255,0.01659059
0.1091472,0.05172715,51905.04,0.009981738461538462,28.41727548592293,0.01659146
0.1093773,0.05177496,51905.25,0.009981778846153847,28.42015180001578,0.01659232
0.1096073,0.05182265,51905.47,0.009981821153846155,28.423015809386882,0.01659317
0.1098374,0.05187024,51905.68,0.009981861538461539,28.425867407912882,0.01659403
0.1100674,0.05191771,51905.89,0.009981901923076924,28.4286916610471,0.01659487
0.1102974,0.05196507,51906.11,0.009981944230769231,28.43150993717153,0.01659572
0.1105275,0.05201232,51906.33,0.00998198653846154,28.43435977391263,0.01659657
0.1107575,0.05205945,51906.54,0.009982026923076924,28.43720937194834,0.01659742
0.1109876,0.05210647,51906.76,0.009982069230769232,28.440034252362782,0.01659827
0.1112176,0.05215338,51906.97,0.009982109615384616,28.442833455442162,0.0165991
0.1114476,0.05220018,51907.18,0.00998215,28.445593346281406,0.01659993
0.1116777,0.05224687,51907.39,0.009982190384615385,28.448351592009534,0.01660075
0.1119077,0.05229345,51907.61,0.009982232692307693,28.451135460726977,0.01660159
0.1121378,0.05233992,51907.82,0.009982273076923077,28.453922909034468,0.01660242
0.1123678,0.05238627,51908.03,0.009982313461538462,28.456682160237385,0.01660324
0.1125978,0.05243252,51908.24,0.009982353846153846,28.459365332669062,0.01660405
0.1128279,0.05247866,51908.45,0.00998239423076923,28.46199283702201,0.01660483
0.1130579,0.0525247,51908.66,0.009982434615384617,28.464658137853416,0.01660563
0.113288,0.05257062,51908.88,0.009982476923076923,28.467416522221693,0.01660646
0.113518,0.05261642,51909.09,0.009982517307692307,28.47018946205642,0.01660729
0.113748,0.05266212,51909.3,0.009982557692307693,28.472900733200348,0.0166081
0.1139781,0.05270771,51909.51,0.009982598076923078,28.47556944698683,0.01660889
0.1142081,0.05275319,51909.72,0.009982638461538462,28.47820764539736,0.01660968
0.1144382,0.05279857,51909.93,0.009982678846153847,28.48084511122118,0.01661047
0.1146682,0.05284383,51910.14,0.009982719230769231,28.48345510378014,0.01661125
0.1148982,0.05288899,51910.35,0.009982759615384616,28.486028276198336,0.01661202
0.1151283,0.05293405,51910.56,0.0099828,28.488622812422967,0.0166128
0.1153583,0.05297899,51910.78,0.009982842307692308,28.491262124348488,0.01661359
0.1155884,0.05302382,51910.99,0.009982882692307692,28.49389683830543,0.01661438
0.1158184,0.05306855,51911.2,0.009982923076923077,28.496497515647693,0.01661515
0.1160484,0.05311317,51911.41,0.009982963461538463,28.49906760424869,0.01661592
0.1162785,0.05315769,51911.62,0.009983003846153847,28.50161899563194,0.01661669
0.1165085,0.0532021,51911.83,0.009983044230769232,28.504160913184432,0.01661745
0.1167386,0.0532464,51912.04,0.009983084615384616,28.50668445009357,0.0166182
