x,r,cf_t,pressure_pa,yplus
0.1932785,0.1968319,1.9423386439708943,97739.75,0.1221057
0.1942646,0.1972818,1.9398129602764809,97754.91,0.1231096
0.1952507,0.1977148,1.937236969521333,97770.57,0.1240986
0.1962368,0.1981307,1.9350889038331267,97786.91,0.1250861
0.1972229,0.1985292,1.9331194353148413,97803.93,0.1260619
0.198209,0.1989102,1.9311121872205947,97821.54,0.1270168
0.1991952,0.1992734,1.928944124602289,97839.66,0.1279441
0.2001813,0.1996187,1.9265887833401663,97858.22,0.1288399
0.2011674,0.1999459,1.9239860882956699,97877.14,0.1296995
0.2021535,0.2002548,1.921292367599087,97896.38,0.130525
0.2031396,0.2005451,1.9190028838875495,97916.05,0.1313304
0.2041257,0.2008167,1.9170651594749486,97936.04,0.132111
0.2051118,0.2010695,1.9153261566213846,97956.13,0.1328585
0.206098,0.2013031,1.913620255420906,97976.04,0.1335639
0.2070841,0.2015175,1.9120591275512098,97995.58,0.1342278
0.2080702,0.2017123,1.9111691609097212,98014.58,0.1348654
0.2090563,0.2018875,1.9109790509831288,98032.71,0.1354745
0.2100424,0.2020428,1.9114615302753761,98049.59,0.136051
0.2110285,0.202178,1.9130713053426545,98064.93,0.1366078
0.2120147,0.2022929,1.9162875318142596,98078.55,0.1371591
0.2130008,0.2023874,1.9210008449361415,98090.39,0.1376979
0.2139869,0.2024613,1.92610692630321,98100.72,0.1381817
0.214973,0.2025142,1.9306856369331167,98110.48,0.1385748
0.2159591,0.2025462,1.9339513132432984,98121.16,0.1388469
0.2169452,0.2025568,1.9570436496312393,98137.91,0.1397549
0.2188202,0.2025568,1.983587,98158.94,0.1407192
0.2206952,0.2025568,1.998525,98179.79,0.1412594
0.2225702,0.2025568,2.009024,98197.77,0.1416398
0.2244452,0.2025568,2.016521,98211.47,0.1419113
0.2263202,0.2025568,2.021492,98221.14,0.1420914
0.2281952,0.2025568,2.024624,98227.65,0.142205
0.2300702,0.2025568,2.026541,98231.88,0.1422746
0.2319452,0.2025568,2.027699,98234.59,0.1423167
