"PointID","x","y","Density","Momentum_x","Momentum_y","Energy","Nu_Tilde"
757, 1.177265804413341e-01, 5.343548099423524e-02, 2.882116381390102e-02, 0.000000000000000e+00, 0.000000000000000e+00, -8.676461205672788e+04, 0.000000000000000e+00
758, 1.174664684675190e-01, 5.338589308669706e-02, 2.887669914275431e-02, 0.000000000000000e+00, 0.000000000000000e+00, -8.693363782387915e+04, 0.000000000000000e+00
759, 1.172063591588212e-01, 5.333616927397992e-02, 2.893246343177751e-02, 0.000000000000000e+00, 0.000000000000000e+00, -8.710325635664783e+04, 0.000000000000000e+00
760, 1.169462788022903e-01, 5.328631421974769e-02, 2.898863903042307e-02, 0.000000000000000e+00, 0.000000000000000e+00, -8.727404224564790e+04, 0.000000000000000e+00
761, 1.166862197458429e-01, 5.323632828313751e-02, 2.904509816249670e-02, 0.000000000000000e+00, 0.000000000000000e+00, -8.744559850336373e+04, 0.000000000000000e+00
762, 1.164261854608350e-01, 5.318621332545419e-02, 2.910181816761040e-02, 0.000000000000000e+00, 0.000000000000000e+00, -8.761784278480071e+04, 0.000000000000000e+00
763, 1.161661762510151e-01, 5.313596836865826e-02, 2.915895998893672e-02, 0.000000000000000e+00, 0.000000000000000e+00, -8.779126864444536e+04, 0.000000000000000e+00
764, 1.159061892918255e-01, 5.308559199624190e-02, 2.921634438180435e-02, 0.000000000000000e+00, 0.000000000000000e+00, -8.796532356169408e+04, 0.000000000000000e+00
765, 1.156462309920779e-01, 5.303508557496250e-02, 2.927404879181606e-02, 0.000000000000000e+00, 0.000000000000000e+00, -8.814024110476798e+04, 0.000000000000000e+00
766, 1.153862983213056e-01, 5.298444738779312e-02, 2.933212727151983e-02, 0.000000000000000e+00, 0.000000000000000e+00, -8.831617893028245e+04, 0.000000000000000e+00
767, 1.151263916395426e-01, 5.293367563687419e-02, 2.939045511289659e-02, 0.000000000000000e+00, 0.000000000000000e+00, -8.849274859375361e+04, 0.000000000000000e+00
768, 1.148665137031607e-01, 5.288277059719020e-02, 2.944916360282851e-02, 0.000000000000000e+00, 0.000000000000000e+00, -8.867037005539521e+04, 0.000000000000000e+00
769, 1.146066590392850e-01, 5.283173306701305e-02, 2.950822818823224e-02, 0.000000000000000e+00, 0.000000000000000e+00, -8.884896033969091e+04, 0.000000000000000e+00
770, 1.143468300771612e-01, 5.278056460820677e-02, 2.956755394211224e-02, 0.000000000000000e+00, 0.000000000000000e+00, -8.902820851562625e+04, 0.000000000000000e+00
771, 1.140870271521668e-01, 5.272926418448504e-02, 2.962728693767379e-02, 0.000000000000000e+00, 0.000000000000000e+00, -8.920855939961036e+04, 0.000000000000000e+00
772, 1.138272489887603e-01, 5.267783072023097e-02, 2.968734409299203e-02, 0.000000000000000e+00, 0.000000000000000e+00, -8.938976088056476e+04, 0.000000000000000e+00
773, 1.135674989578283e-01, 5.262626540660345e-02, 2.974766806040226e-02, 0.000000000000000e+00, 0.000000000000000e+00, -8.957162070443186e+04, 0.000000000000000e+00
774, 1.133077756650485e-01, 5.257456577154400e-02, 2.980841817610994e-02, 0.000000000000000e+00, 0.000000000000000e+00, -8.975462153627840e+04, 0.000000000000000e+00
775, 1.130480797348101e-01, 5.252272872875379e-02, 2.986947880938270e-02, 0.000000000000000e+00, 0.000000000000000e+00, -8.993842015716356e+04, 0.000000000000000e+00
776, 1.127884112228749e-01, 5.247075447714854e-02, 2.993083952988725e-02, 0.000000000000000e+00, 0.000000000000000e+00, -9.012301539710109e+04, 0.000000000000000e+00
777, 1.125287694791219e-01, 5.241864706636879e-02, 2.999267274609737e-02, 0.000000000000000e+00, 0.000000000000000e+00, -9.030890249787168e+04, 0.000000000000000e+00
778, 1.122691535167528e-01, 5.236640859928194e-02, 3.005481860104692e-02, 0.000000000000000e+00, 0.000000000000000e+00, -9.049557727079894e+04, 0.000000000000000e+00
779, 1.120095636296323e-01, 5.231403656495777e-02, 3.011724123162746e-02, 0.000000000000000e+00, 0.000000000000000e+00, -9.068291942434473e+04, 0.000000000000000e+00
780, 1.117500023504794e-01, 5.226152868118574e-02, 3.018011309860381e-02, 0.000000000000000e+00, 0.000000000000000e+00, -9.087145912971621e+04, 0.000000000000000e+00
781, 1.114904681504583e-01, 5.220888425287953e-02, 3.024332120768395e-02, 0.000000000000000e+00, 0.000000000000000e+00, -9.106085679486596e+04, 0.000000000000000e+00
782, 1.112309615313072e-01, 5.215610423463388e-02, 3.030683764864169e-02, 0.000000000000000e+00, 0.000000000000000e+00, -9.125102467810000e+04, 0.000000000000000e+00
783, 1.109714804771680e-01, 5.210318884704760e-02, 3.037080030565145e-02, 0.000000000000000e+00, 0.000000000000000e+00, -9.144237127071613e+04, 0.000000000000000e+00
784, 1.107120288669744e-01, 5.205013820787195e-02, 3.043511741239402e-02, 0.000000000000000e+00, 0.000000000000000e+00, -9.163461465844554e+04, 0.000000000000000e+00
785, 1.104525882960305e-01, 5.199694694049340e-02, 3.049974628562320e-02, 0.000000000000000e+00, 0.000000000000000e+00, -9.182761398265076e+04, 0.000000000000000e+00
786, 1.101931352709523e-01, 5.194360911299659e-02, 3.056481046210326e-02, 0.000000000000000e+00, 0.000000000000000e+00, -9.202174756584609e+04, 0.000000000000000e+00
787, 1.099338209564853e-01, 5.189015682637396e-02, 3.063025787134868e-02, 0.000000000000000e+00, 0.000000000000000e+00, -9.221686018656583e+04, 0.000000000000000e+00
788, 1.096744316138105e-01, 5.183654722548801e-02, 3.069605774203829e-02, 0.000000000000000e+00, 0.000000000000000e+00, -9.241284054143731e+04, 0.000000000000000e+00
789, 1.094151940826154e-01, 5.178282668632562e-02, 3.076220658063981e-02, 0.000000000000000e+00, 0.000000000000000e+00, -9.260968251415326e+04, 0.000000000000000e+00
790, 1.091559122084865e-01, 5.172895387508543e-02, 3.082883165340369e-02, 0.000000000000000e+00, 0.000000000000000e+00, -9.280775127168426e+04, 0.000000000000000e+00
791, 1.088966591431097e-01, 5.167494378814932e-02, 3.089579054656764e-02, 0.000000000000000e+00, 0.000000000000000e+00, -9.300661854467455e+04, 0.000000000000000e+00
792, 1.086374349722807e-01, 5.162079586484640e-02, 3.096308384126392e-02, 0.000000000000000e+00, 0.000000000000000e+00, -9.320628310553596e+04, 0.000000000000000e+00
793, 1.083782267435449e-01, 5.156650582538666e-02, 3.103089190230782e-02, 0.000000000000000e+00, 0.000000000000000e+00, -9.340730283870314e+04, 0.000000000000000e+00
794, 1.081190600750084e-01, 5.151207873072082e-02, 3.109905352714870e-02, 0.000000000000000e+00, 0.000000000000000e+00, -9.360916684894063e+04, 0.000000000000000e+00
795, 1.078599228974891e-01, 5.145751196925739e-02, 3.116756659872408e-02, 0.000000000000000e+00, 0.000000000000000e+00, -9.381186274796430e+04, 0.000000000000000e+00
796, 1.076008153829452e-01, 5.140280500958778e-02, 3.123652363470623e-02, 0.000000000000000e+00, 0.000000000000000e+00, -9.401566455041047e+04, 0.000000000000000e+00
797, 1.073417552843140e-01, 5.134796142199820e-02, 3.130592773016073e-02, 0.000000000000000e+00, 0.000000000000000e+00, -9.422058450082544e+04, 0.000000000000000e+00
798, 1.070827083758290e-01, 5.129297531919255e-02, 3.137570422188782e-02, 0.000000000000000e+00, 0.000000000000000e+00, -9.442640468366143e+04, 0.000000000000000e+00
799, 1.068236910732685e-01, 5.123785039111311e-02, 3.144584582795357e-02, 0.000000000000000e+00, 0.000000000000000e+00, -9.463306912394419e+04, 0.000000000000000e+00
800, 1.065647015929222e-01, 5.118258538470877e-02, 3.151651652025837e-02, 0.000000000000000e+00, 0.000000000000000e+00, -9.484106798043630e+04, 0.000000000000000e+00
801, 1.063057430494536e-01, 5.112718028350377e-02, 3.158756896771094e-02, 0.000000000000000e+00, 0.000000000000000e+00, -9.504996217846760e+04, 0.000000000000000e+00
802, 1.060468142921062e-01, 5.107163452554495e-02, 3.165900263523130e-02, 0.000000000000000e+00, 0.000000000000000e+00, -9.525973624754637e+04, 0.000000000000000e+00
803, 1.057879134329502e-01, 5.101594810347816e-02, 3.173086679018242e-02, 0.000000000000000e+00, 0.000000000000000e+00, -9.547053919294674e+04, 0.000000000000000e+00
804, 1.055290474990856e-01, 5.096012320466996e-02, 3.180323704786646e-02, 0.000000000000000e+00, 0.000000000000000e+00, -9.568258658122874e+04, 0.000000000000000e+00
805, 1.052702097678651e-01, 5.090415702232745e-02, 3.187598794834524e-02, 0.000000000000000e+00, 0.000000000000000e+00, -9.589548475544987e+04, 0.000000000000000e+00
806, 1.050114033050477e-01, 5.084804759222981e-02, 3.194912898146924e-02, 0.000000000000000e+00, 0.000000000000000e+00, -9.610926550738390e+04, 0.000000000000000e+00
807, 1.047526131720568e-01, 5.079179146059276e-02, 3.202274681245848e-02, 0.000000000000000e+00, 0.000000000000000e+00, -9.632418538785286e+04, 0.000000000000000e+00
808, 1.044938702435457e-01, 5.073539535490312e-02, 3.209685680092821e-02, 0.000000000000000e+00, 0.000000000000000e+00, -9.654027242066446e+04, 0.000000000000000e+00
809, 1.042351692600050e-01, 5.067885736746326e-02, 3.217137388675485e-02, 0.000000000000000e+00, 0.000000000000000e+00, -9.675729533109469e+04, 0.000000000000000e+00
810, 1.039764875856117e-01, 5.062217263177783e-02, 3.224631845213143e-02, 0.000000000000000e+00, 0.000000000000000e+00, -9.697530159748689e+04, 0.000000000000000e+00
811, 1.037178354792447e-01, 5.056534553034784e-02, 3.232175606976618e-02, 0.000000000000000e+00, 0.000000000000000e+00, -9.719446755282517e+04, 0.000000000000000e+00
812, 1.034592183781955e-01, 5.050837746928057e-02, 3.239769867597846e-02, 0.000000000000000e+00, 0.000000000000000e+00, -9.741483096325617e+04, 0.000000000000000e+00
813, 1.032006312653795e-01, 5.045126607066883e-02, 3.247406270616198e-02, 0.000000000000000e+00, 0.000000000000000e+00, -9.763611768127300e+04, 0.000000000000000e+00
814, 1.029420746952456e-01, 5.039401074636631e-02, 3.255085652343677e-02, 0.000000000000000e+00, 0.000000000000000e+00, -9.785835391364657e+04, 0.000000000000000e+00
815, 1.026835493939808e-01, 5.033661152977681e-02, 3.262811866725115e-02, 0.000000000000000e+00, 0.000000000000000e+00, -9.808289953273407e+04, 0.000000000000000e+00
816, 1.024250436326637e-01, 5.027906421614798e-02, 3.270591750663959e-02, 0.000000000000000e+00, 0.000000000000000e+00, -9.831109075466025e+04, 0.000000000000000e+00
817, 1.021665226668281e-01, 5.022135982883082e-02, 3.278415700194882e-02, 0.000000000000000e+00, 0.000000000000000e+00, -9.854172168834234e+04, 0.000000000000000e+00
818, 1.019081461774051e-01, 5.016353503212535e-02, 3.286279201080038e-02, 0.000000000000000e+00, 0.000000000000000e+00, -9.877441538832003e+04, 0.000000000000000e+00
819, 1.016497044794459e-01, 5.010554434188626e-02, 3.294187691401250e-02, 0.000000000000000e+00, 0.000000000000000e+00, -9.900923572144599e+04, 0.000000000000000e+00
820, 1.013914130046047e-01, 5.004743572356353e-02, 3.302145359142505e-02, 0.000000000000000e+00, 0.000000000000000e+00, -9.924604004073978e+04, 0.000000000000000e+00
821, 1.011330845208990e-01, 4.998916467684124e-02, 3.310147405840633e-02, 0.000000000000000e+00, 0.000000000000000e+00, -9.948482445489988e+04, 0.000000000000000e+00
822, 1.008747899967955e-01, 4.993074534257593e-02, 3.318190633289183e-02, 0.000000000000000e+00, 0.000000000000000e+00, -9.972538024879688e+04, 0.000000000000000e+00
823, 1.006165291797615e-01, 4.987217881271636e-02, 3.326275708266010e-02, 0.000000000000000e+00, 0.000000000000000e+00, -9.996769357478990e+04, 0.000000000000000e+00
824, 1.003582831660669e-01, 4.981346247545997e-02, 3.334404210742137e-02, 0.000000000000000e+00, 0.000000000000000e+00, -1.002117965719045e+05, 0.000000000000000e+00
825, 1.001000874944267e-01, 4.975460389019085e-02, 3.342583097738556e-02, 0.000000000000000e+00, 0.000000000000000e+00, -1.004578445278315e+05, 0.000000000000000e+00
826, 9.984192564136325e-02, 4.969559876456006e-02, 3.350807560733308e-02, 0.000000000000000e+00, 0.000000000000000e+00, -1.007055340911285e+05, 0.000000000000000e+00
827, 9.958379774597192e-02, 4.963644722246864e-02, 3.359083185979077e-02, 0.000000000000000e+00, 0.000000000000000e+00, -1.009549175259303e+05, 0.000000000000000e+00
828, 9.932571748161488e-02, 4.957715158130228e-02, 3.367409513249188e-02, 0.000000000000000e+00, 0.000000000000000e+00, -1.012059736096179e+05, 0.000000000000000e+00
829, 9.906765655394570e-02, 4.951770324613691e-02, 3.375790165757821e-02, 0.000000000000000e+00, 0.000000000000000e+00, -1.014588228813146e+05, 0.000000000000000e+00
830, 9.880963044153476e-02, 4.945810516580014e-02, 3.384235331234689e-02, 0.000000000000000e+00, 0.000000000000000e+00, -1.017137834313954e+05, 0.000000000000000e+00
831, 9.855163918030829e-02, 4.939835837485625e-02, 3.392735006985722e-02, 0.000000000000000e+00, 0.000000000000000e+00, -1.019705698484207e+05, 0.000000000000000e+00
832, 9.829368544374248e-02, 4.933846423914948e-02, 3.401288916943920e-02, 0.000000000000000e+00, 0.000000000000000e+00, -1.022291583811764e+05, 0.000000000000000e+00
833, 9.803576312529340e-02, 4.927842043597291e-02, 3.409897400628343e-02, 0.000000000000000e+00, 0.000000000000000e+00, -1.024895582381895e+05, 0.000000000000000e+00
834, 9.777787624181117e-02, 4.921822660582996e-02, 3.418561166730059e-02, 0.000000000000000e+00, 0.000000000000000e+00, -1.027517984134961e+05, 0.000000000000000e+00
835, 9.752002366038282e-02, 4.915788197453451e-02, 3.427289709488599e-02, 0.000000000000000e+00, 0.000000000000000e+00, -1.030161845250302e+05, 0.000000000000000e+00
836, 9.726220590766453e-02, 4.909738689616513e-02, 3.436078784830184e-02, 0.000000000000000e+00, 0.000000000000000e+00, -1.032825957939975e+05, 0.000000000000000e+00
837, 9.700442411461044e-02, 4.903674144966000e-02, 3.444922729339153e-02, 0.000000000000000e+00, 0.000000000000000e+00, -1.035505539998949e+05, 0.000000000000000e+00
838, 9.674667837757824e-02, 4.897594534318316e-02, 3.453821848143277e-02, 0.000000000000000e+00, 0.000000000000000e+00, -1.038200138016687e+05, 0.000000000000000e+00
839, 9.648896342018481e-02, 4.891499829642224e-02, 3.462776872441825e-02, 0.000000000000000e+00, 0.000000000000000e+00, -1.040909566337719e+05, 0.000000000000000e+00
840, 9.623128827117998e-02, 4.885390287020837e-02, 3.471786943022778e-02, 0.000000000000000e+00, 0.000000000000000e+00, -1.043633440496692e+05, 0.000000000000000e+00
841, 9.597363473928545e-02, 4.879265259003491e-02, 3.480859724651462e-02, 0.000000000000000e+00, 0.000000000000000e+00, -1.046373939722874e+05, 0.000000000000000e+00
842, 9.571603096456203e-02, 4.873125222584537e-02, 3.489992305027629e-02, 0.000000000000000e+00, 0.000000000000000e+00, -1.049130136133559e+05, 0.000000000000000e+00
843, 9.545848370922204e-02, 4.866970363999369e-02, 3.499181745002807e-02, 0.000000000000000e+00, 0.000000000000000e+00, -1.051901075518009e+05, 0.000000000000000e+00
844, 9.520095182691429e-02, 4.860799622433117e-02, 3.508429457837790e-02, 0.000000000000000e+00, 0.000000000000000e+00, -1.054686863446082e+05, 0.000000000000000e+00
845, 9.494345780336141e-02, 4.854613381409958e-02, 3.517736705280794e-02, 0.000000000000000e+00, 0.000000000000000e+00, -1.057488219789416e+05, 0.000000000000000e+00
846, 9.468600113711437e-02, 4.848411884695884e-02, 3.527105482548985e-02, 0.000000000000000e+00, 0.000000000000000e+00, -1.060305716518530e+05, 0.000000000000000e+00
847, 9.442858105889564e-02, 4.842195478158616e-02, 3.536534287928345e-02, 0.000000000000000e+00, 0.000000000000000e+00, -1.063138889680407e+05, 0.000000000000000e+00
848, 9.417119815936204e-02, 4.835964004200387e-02, 3.546027632157807e-02, 0.000000000000000e+00, 0.000000000000000e+00, -1.065988264384594e+05, 0.000000000000000e+00
849, 9.391385386528645e-02, 4.829716902745049e-02, 3.555581455358159e-02, 0.000000000000000e+00, 0.000000000000000e+00, -1.068852656022412e+05, 0.000000000000000e+00
850, 9.365654978978344e-02, 4.823453944948580e-02, 3.565198231237594e-02, 0.000000000000000e+00, 0.000000000000000e+00, -1.071733170352129e+05, 0.000000000000000e+00
851, 9.339928104607087e-02, 4.817175424790645e-02, 3.574880511779377e-02, 0.000000000000000e+00, 0.000000000000000e+00, -1.074631006678270e+05, 0.000000000000000e+00
